,_id,Dt_Fat,Dt_Entrega,Mes_Base,Ano_Exec,CO_Fabrica,CO_Cliente,Tp_Operacao,Incoterm,Veiculo,Qtd_Transp,Moeda,Vlr_Frete,flag_dt_consist
305,6422fe1fdeb0deaf178e85af,2021-01-02,2021-01-01,Jan,2021,3424402,2314,VD,FOB,P12,1200.0,BRL,0.0,False
322,6422fe1fdeb0deaf178e85c0,2021-01-02,2021-01-01,Jan,2021,3423909,2351,VD,FOB,P12,1600.0,BRL,0.0,False
323,6422fe1fdeb0deaf178e85c1,2021-01-04,2021-01-04,Jan,2021,3403208,2313,VD,FOB,P12,1200.0,BRL,0.0,False
330,6422fe1fdeb0deaf178e85c8,2021-01-05,2021-01-05,Jan,2021,3424402,2331,VD,FOB,P12,1800.0,BRL,0.0,False
334,6422fe1fdeb0deaf178e85cc,2021-01-06,2021-01-04,Jan,2021,3423909,2327,VD,FOB,P12,1800.0,BRL,0.0,False
336,6422fe1fdeb0deaf178e85ce,2021-01-05,2021-01-05,Jan,2021,3424402,2332,VD,FOB,P12,1800.0,BRL,0.0,False
345,6422fe1fdeb0deaf178e85d7,2021-01-07,2021-01-07,Jan,2021,3424402,2320,VD,FOB,P12,1800.0,BRL,0.0,False
353,6422fe1fdeb0deaf178e85df,2021-01-09,2021-01-09,Jan,2021,3424402,2332,VD,FOB,P12,1600.0,BRL,0.0,False
384,6422fe1fdeb0deaf178e85fe,2021-01-10,2021-01-10,Jan,2021,3423909,2323,VD,FOB,P12,1600.0,BRL,0.0,False
420,6422fe1fdeb0deaf178e8622,2021-01-12,2021-01-12,Jan,2021,3424402,2339,VD,FOB,P12,1200.0,BRL,0.0,False
422,6422fe1fdeb0deaf178e8624,2021-01-13,2021-01-12,Jan,2021,3424402,2302,VD,FOB,P12,1800.0,BRL,0.0,False
439,6422fe1fdeb0deaf178e8635,2021-01-13,2021-01-12,Jan,2021,3423909,2346,VD,FOB,P12,1200.0,BRL,0.0,False
461,6422fe1fdeb0deaf178e864b,2021-01-13,2021-01-12,Jan,2021,3403208,2303,VD,FOB,P12,1800.0,BRL,0.0,False
470,6422fe1fdeb0deaf178e8654,2021-01-16,2021-01-16,Jan,2021,3423909,2325,VD,FOB,P12,1800.0,BRL,0.0,False
471,6422fe1fdeb0deaf178e8655,2021-01-16,2021-01-16,Jan,2021,3423909,2327,VD,FOB,P12,1600.0,BRL,0.0,False
483,6422fe1fdeb0deaf178e8661,2021-01-16,2021-01-14,Jan,2021,3424402,2317,VD,FOB,P12,1800.0,BRL,0.0,False
492,6422fe1fdeb0deaf178e866a,2021-01-18,2021-01-17,Jan,2021,3403208,2321,VD,FOB,P12,1600.0,BRL,0.0,False
506,6422fe1fdeb0deaf178e8678,2021-01-18,2021-01-18,Jan,2021,3423909,2313,VD,FOB,P12,1800.0,BRL,0.0,False
526,6422fe1fdeb0deaf178e868c,2021-01-21,2021-01-21,Jan,2021,3424402,2332,VD,FOB,P12,1800.0,BRL,0.0,False
528,6422fe1fdeb0deaf178e868e,2021-01-20,2021-01-20,Jan,2021,3423909,2332,VD,FOB,P12,1200.0,BRL,0.0,False
533,6422fe1fdeb0deaf178e8693,2021-01-21,2021-01-20,Jan,2021,3424402,2331,VD,FOB,P12,1200.0,BRL,0.0,False
535,6422fe1fdeb0deaf178e8695,2021-01-21,2021-01-20,Jan,2021,3424402,2301,VD,FOB,P12,1600.0,BRL,0.0,False
566,6422fe1fdeb0deaf178e86b4,2021-01-25,2021-01-25,Jan,2021,3424402,2330,VD,FOB,P12,1600.0,BRL,0.0,False
575,6422fe1fdeb0deaf178e86bd,2021-01-27,2021-01-27,Jan,2021,3423909,2313,VD,FOB,P12,1600.0,BRL,0.0,False
599,6422fe1fdeb0deaf178e86d5,2021-01-29,2021-01-27,Jan,2021,3424402,2332,VD,FOB,P12,1600.0,BRL,0.0,False
600,6422fe1fdeb0deaf178e86d6,2021-01-29,2021-01-27,Jan,2021,3424402,2303,VD,FOB,P12,1600.0,BRL,0.0,False
604,6422fe1fdeb0deaf178e86da,2021-01-30,2021-01-29,Jan,2021,3423909,2332,VD,FOB,P12,1600.0,BRL,0.0,False
610,6422fe1fdeb0deaf178e86e0,2021-01-29,2021-01-29,Jan,2021,3403208,2327,VD,FOB,P12,1800.0,BRL,0.0,False
615,6422fe1fdeb0deaf178e86e5,2021-01-28,2021-01-27,Jan,2021,3424402,2311,VD,FOB,P12,1200.0,BRL,0.0,False
628,6422fe1fdeb0deaf178e86f2,2021-01-31,2021-01-30,Jan,2021,3424402,2332,VD,FOB,P12,1800.0,BRL,0.0,False
634,6422fe1fdeb0deaf178e86f8,2021-01-31,2021-01-31,Jan,2021,3424402,2301,VD,FOB,P12,1200.0,BRL,0.0,False
654,6422fe1fdeb0deaf178e870c,2021-02-01,2021-01-30,Fev,2021,3424402,2351,VD,FOB,P12,1200.0,BRL,0.0,False
667,6422fe1fdeb0deaf178e8719,2021-01-31,2021-01-31,Jan,2021,3403208,2302,VD,FOB,P12,1200.0,BRL,0.0,False
669,6422fe1fdeb0deaf178e871b,2021-02-02,2021-02-01,Fev,2021,3403208,2307,VD,FOB,P12,1800.0,BRL,0.0,False
672,6422fe1fdeb0deaf178e871e,2021-02-01,2021-01-30,Fev,2021,3423909,2317,VD,FOB,P12,1200.0,BRL,0.0,False
679,6422fe1fdeb0deaf178e8725,2021-02-02,2021-02-01,Fev,2021,3423909,2329,VD,FOB,P12,1800.0,BRL,0.0,False
680,6422fe1fdeb0deaf178e8726,2021-02-02,2021-02-02,Fev,2021,3423909,2330,VD,FOB,P12,1600.0,BRL,0.0,False
685,6422fe1fdeb0deaf178e872b,2021-01-03,2020-12-31,Jan,2021,3424402,2349,VD,FOB,P12,1800.0,BRL,0.0,False
686,6422fe1fdeb0deaf178e872c,2021-01-02,2021-01-01,Jan,2021,3403208,2351,VD,FOB,P12,1200.0,BRL,0.0,False
689,6422fe1fdeb0deaf178e872f,2021-01-03,2021-01-01,Jan,2021,3424402,2347,VD,FOB,P12,1600.0,BRL,0.0,False
695,6422fe1fdeb0deaf178e8735,2021-01-01,2021-01-01,Jan,2021,3423909,2303,VD,FOB,P12,1800.0,BRL,0.0,False
750,6422fe1fdeb0deaf178e876c,2021-01-07,2021-01-07,Jan,2021,3403208,2314,VD,FOB,P12,1600.0,BRL,0.0,False
762,6422fe1fdeb0deaf178e8778,2021-01-06,2021-01-04,Jan,2021,3424402,2339,VD,FOB,P24,2800.0,BRL,0.0,False
769,6422fe1fdeb0deaf178e877f,2021-01-07,2021-01-05,Jan,2021,3403208,2332,VD,FOB,P24,2800.0,BRL,0.0,False
783,6422fe1fdeb0deaf178e878d,2021-01-10,2021-01-07,Jan,2021,3424402,2303,VD,FOB,P12,1200.0,BRL,0.0,False
805,6422fe1fdeb0deaf178e87a3,2021-01-10,2021-01-09,Jan,2021,3403208,2332,VD,FOB,P12,1800.0,BRL,0.0,False
829,6422fe1fdeb0deaf178e87bb,2021-01-15,2021-01-15,Jan,2021,3423909,2332,VD,FOB,P12,1200.0,BRL,0.0,False
849,6422fe1fdeb0deaf178e87cf,2021-01-16,2021-01-16,Jan,2021,3423909,2327,VD,FOB,P12,1200.0,BRL,0.0,False
862,6422fe1fdeb0deaf178e87dc,2021-01-17,2021-01-16,Jan,2021,3403208,2332,VD,FOB,P12,1600.0,BRL,0.0,False
881,6422fe1fdeb0deaf178e87ef,2021-01-19,2021-01-19,Jan,2021,3424402,2332,VD,FOB,P24,3000.0,BRL,0.0,False
884,6422fe1fdeb0deaf178e87f2,2021-01-19,2021-01-18,Jan,2021,3403208,2323,VD,FOB,P24,2400.0,BRL,0.0,False
889,6422fe1fdeb0deaf178e87f7,2021-01-21,2021-01-21,Jan,2021,3424402,2301,VD,FOB,P12,1800.0,BRL,0.0,False
892,6422fe1fdeb0deaf178e87fa,2021-01-20,2021-01-20,Jan,2021,3424402,2307,VD,FOB,P24,3000.0,BRL,0.0,False
897,6422fe1fdeb0deaf178e87ff,2021-01-19,2021-01-19,Jan,2021,3424402,2321,VD,FOB,P24,2800.0,BRL,0.0,False
904,6422fe1fdeb0deaf178e8806,2021-01-21,2021-01-20,Jan,2021,3423909,2332,VD,FOB,P12,1800.0,BRL,0.0,False
906,6422fe1fdeb0deaf178e8808,2021-01-20,2021-01-19,Jan,2021,3424402,2339,VD,FOB,P24,2400.0,BRL,0.0,False
915,6422fe1fdeb0deaf178e8811,2021-01-22,2021-01-19,Jan,2021,3424402,2305,VD,FOB,P12,1800.0,BRL,0.0,False
920,6422fe1fdeb0deaf178e8816,2021-01-23,2021-01-22,Jan,2021,3403208,2332,VD,FOB,P24,2800.0,BRL,0.0,False
921,6422fe1fdeb0deaf178e8817,2021-01-23,2021-01-21,Jan,2021,3423909,2337,VD,FOB,P12,1200.0,BRL,0.0,False
928,6422fe1fdeb0deaf178e881e,2021-01-23,2021-01-22,Jan,2021,3424402,2339,VD,FOB,P12,1600.0,BRL,0.0,False
941,6422fe1fdeb0deaf178e882b,2021-01-27,2021-01-27,Jan,2021,3424402,2339,VD,FOB,P12,1800.0,BRL,0.0,False
943,6422fe1fdeb0deaf178e882d,2021-01-27,2021-01-26,Jan,2021,3424402,2346,VD,FOB,P12,1200.0,BRL,0.0,False
947,6422fe1fdeb0deaf178e8831,2021-01-27,2021-01-27,Jan,2021,3424402,2331,VD,FOB,P12,1800.0,BRL,0.0,False
961,6422fe1fdeb0deaf178e883f,2021-01-27,2021-01-26,Jan,2021,3424402,2329,VD,FOB,P24,2400.0,BRL,0.0,False
976,6422fe1fdeb0deaf178e884e,2021-01-28,2021-01-28,Jan,2021,3424402,2320,VD,FOB,P12,1200.0,BRL,0.0,False
1001,6422fe20deb0deaf178e8867,2021-01-31,2021-01-28,Jan,2021,3424402,2317,VD,FOB,P24,3000.0,BRL,0.0,False
1009,6422fe20deb0deaf178e886f,2021-01-29,2021-01-29,Jan,2021,3423909,2330,VD,FOB,P12,1600.0,BRL,0.0,False
1010,6422fe20deb0deaf178e8870,2021-01-31,2021-01-30,Jan,2021,3423909,2332,VD,FOB,P24,3000.0,BRL,0.0,False
1013,6422fe20deb0deaf178e8873,2021-01-29,2021-01-28,Jan,2021,3423909,2346,VD,FOB,P12,1800.0,BRL,0.0,False
1035,6422fe20deb0deaf178e8889,2021-02-01,2021-02-01,Fev,2021,3403208,2328,VD,FOB,P12,1600.0,BRL,0.0,False
1037,6422fe20deb0deaf178e888b,2021-02-02,2021-02-02,Fev,2021,3424402,2333,VD,FOB,P12,1600.0,BRL,0.0,False
1052,6422fe20deb0deaf178e889a,2021-01-01,2021-01-01,Jan,2021,3424402,2323,VD,FOB,P12,1800.0,BRL,0.0,False
1075,6422fe20deb0deaf178e88b1,2021-01-08,2021-01-07,Jan,2021,3423909,2332,VD,FOB,P24,2800.0,BRL,0.0,False
1079,6422fe20deb0deaf178e88b5,2021-01-08,2021-01-08,Jan,2021,3403208,2332,VD,FOB,P24,3000.0,BRL,0.0,False
1111,6422fe20deb0deaf178e88d5,2021-01-11,2021-01-09,Jan,2021,3403208,2327,VD,FOB,P24,3000.0,BRL,0.0,False
1122,6422fe20deb0deaf178e88e0,2021-01-13,2021-01-13,Jan,2021,3424402,2328,VD,FOB,P12,1800.0,BRL,0.0,False
1152,6422fe20deb0deaf178e88fe,2021-01-17,2021-01-17,Jan,2021,3403208,2332,VD,FOB,P12,1800.0,BRL,0.0,False
1157,6422fe20deb0deaf178e8903,2021-01-18,2021-01-17,Jan,2021,3424402,2339,VD,FOB,P24,2400.0,BRL,0.0,False
1164,6422fe20deb0deaf178e890a,2021-01-18,2021-01-16,Jan,2021,3423909,2332,VD,FOB,P12,1800.0,BRL,0.0,False
1176,6422fe20deb0deaf178e8916,2021-01-22,2021-01-22,Jan,2021,3423909,2330,VD,FOB,P24,2800.0,BRL,0.0,False
1178,6422fe20deb0deaf178e8918,2021-01-21,2021-01-21,Jan,2021,3424402,2323,VD,FOB,P24,2800.0,BRL,0.0,False
1181,6422fe20deb0deaf178e891b,2021-01-24,2021-01-24,Jan,2021,3423909,2330,VD,FOB,P24,2800.0,BRL,0.0,False
1216,6422fe20deb0deaf178e893e,2021-02-01,2021-01-31,Fev,2021,3403208,2349,VD,FOB,P24,2800.0,BRL,0.0,False
1217,6422fe20deb0deaf178e893f,2021-02-02,2021-02-02,Fev,2021,3423909,2327,VD,FOB,P12,1200.0,BRL,0.0,False
1228,6422fe20deb0deaf178e894a,2021-01-11,2021-01-10,Jan,2021,3424402,2317,VD,FOB,P24,3000.0,BRL,0.0,False
1259,6422fe20deb0deaf178e8969,2021-01-23,2021-01-22,Jan,2021,3423909,2327,VD,FOB,P24,3000.0,BRL,0.0,False
1262,6422fe20deb0deaf178e896c,2021-01-24,2021-01-24,Jan,2021,3423909,2302,VD,FOB,P24,2400.0,BRL,0.0,False
1272,6422fe20deb0deaf178e8976,2021-01-30,2021-01-30,Jan,2021,3403208,2321,VD,FOB,P24,2800.0,BRL,0.0,False
1292,6422fe20deb0deaf178e898a,2021-01-23,2021-01-23,Jan,2021,3403208,2332,VD,FOB,P24,2800.0,BRL,0.0,False
1307,6422fe20deb0deaf178e8999,2021-01-08,2021-01-06,Jan,2021,3423909,2328,VD,FOB,P24,3000.0,BRL,0.0,False
1314,6422fe20deb0deaf178e89a0,2021-01-07,2021-01-07,Jan,2021,3423909,2337,VD,FOB,P12,1800.0,BRL,0.0,False
1324,6422fe20deb0deaf178e89aa,2021-01-14,2021-01-12,Jan,2021,3423909,2332,VD,FOB,P24,2800.0,BRL,0.0,False
1328,6422fe20deb0deaf178e89ae,2021-01-14,2021-01-13,Jan,2021,3424402,2313,VD,FOB,P24,2400.0,BRL,0.0,False
1330,6422fe20deb0deaf178e89b0,2021-01-16,2021-01-16,Jan,2021,3423909,2324,VD,FOB,P24,2400.0,BRL,0.0,False
1336,6422fe20deb0deaf178e89b6,2021-01-17,2021-01-15,Jan,2021,3423909,2332,VD,FOB,P12,1200.0,BRL,0.0,False
1341,6422fe20deb0deaf178e89bb,2021-01-18,2021-01-18,Jan,2021,3423909,2314,VD,FOB,P12,1800.0,BRL,0.0,False
1350,6422fe20deb0deaf178e89c4,2021-01-20,2021-01-20,Jan,2021,3403208,2323,VD,FOB,P12,1200.0,BRL,0.0,False
1366,6422fe20deb0deaf178e89d4,2021-01-21,2021-01-20,Jan,2021,3424402,2313,VD,FOB,P12,1200.0,BRL,0.0,False
1389,6422fe20deb0deaf178e89eb,2021-02-01,2021-01-31,Fev,2021,3424402,2329,VD,FOB,P24,3000.0,BRL,0.0,False
1395,6422fe20deb0deaf178e89f1,2021-01-16,2021-01-16,Jan,2021,3424402,2320,VD,FOB,P24,3000.0,BRL,0.0,False
1407,6422fe20deb0deaf178e89fd,2021-01-16,2021-01-16,Jan,2021,3424402,2332,VD,FOB,P12,1800.0,BRL,0.0,False
1433,6422fe20deb0deaf178e8a17,2021-01-08,2021-01-08,Jan,2021,3403208,2327,VD,FOB,P24,2400.0,BRL,0.0,False
1437,6422fe20deb0deaf178e8a1b,2021-01-07,2021-01-07,Jan,2021,3423909,2320,VD,FOB,P12,1800.0,BRL,0.0,False
1459,6422fe20deb0deaf178e8a31,2021-01-23,2021-01-21,Jan,2021,3423909,2325,VD,FOB,P12,1800.0,BRL,0.0,False
1463,6422fe20deb0deaf178e8a35,2021-01-03,2021-01-03,Jan,2021,3423909,2332,VD,FOB,P24,3000.0,BRL,0.0,False
1500,6422fe20deb0deaf178e8a5a,2021-01-10,2021-01-10,Jan,2021,3403208,2307,VD,FOB,P12,1200.0,BRL,0.0,False
1503,6422fe20deb0deaf178e8a5d,2021-01-10,2021-01-10,Jan,2021,3424402,2317,VD,FOB,P24,2800.0,BRL,0.0,False
1539,6422fe20deb0deaf178e8a81,2021-01-14,2021-01-14,Jan,2021,3424402,2321,VD,FOB,P12,1200.0,BRL,0.0,False
1540,6422fe20deb0deaf178e8a82,2021-01-13,2021-01-12,Jan,2021,3423909,2302,VD,FOB,P24,2400.0,BRL,0.0,False
1546,6422fe20deb0deaf178e8a88,2021-01-13,2021-01-12,Jan,2021,3424402,2332,VD,FOB,P24,2400.0,BRL,0.0,False
1586,6422fe20deb0deaf178e8ab0,2021-01-24,2021-01-22,Jan,2021,3423909,2324,VD,FOB,P12,1600.0,BRL,0.0,False
1596,6422fe20deb0deaf178e8aba,2021-01-25,2021-01-23,Jan,2021,3403208,2351,VD,FOB,P12,1800.0,BRL,0.0,False
1602,6422fe20deb0deaf178e8ac0,2021-01-24,2021-01-24,Jan,2021,3424402,2333,VD,FOB,P24,3000.0,BRL,0.0,False
1621,6422fe20deb0deaf178e8ad3,2021-01-26,2021-01-26,Jan,2021,3423909,2313,VD,FOB,P24,2400.0,BRL,0.0,False
1642,6422fe20deb0deaf178e8ae8,2021-01-25,2021-01-25,Jan,2021,3424402,2317,VD,FOB,P12,1200.0,BRL,0.0,False
1677,6422fe20deb0deaf178e8b0b,2021-01-28,2021-01-28,Jan,2021,3403208,2330,VD,FOB,P12,1600.0,BRL,0.0,False
1697,6422fe20deb0deaf178e8b1f,2021-01-25,2021-01-23,Jan,2021,3424402,2314,VD,FOB,P12,1600.0,BRL,0.0,False
1704,6422fe20deb0deaf178e8b26,2021-01-02,2021-01-01,Jan,2021,3424402,2327,VD,FOB,P24,3000.0,BRL,0.0,False
1714,6422fe20deb0deaf178e8b30,2021-01-05,2021-01-04,Jan,2021,3403208,2302,VD,FOB,P12,1800.0,BRL,0.0,False
1732,6422fe20deb0deaf178e8b42,2021-01-07,2021-01-04,Jan,2021,3423909,2332,VD,FOB,P12,1800.0,BRL,0.0,False
1735,6422fe20deb0deaf178e8b45,2021-01-06,2021-01-06,Jan,2021,3403208,2346,VD,FOB,P24,3000.0,BRL,0.0,False
1755,6422fe20deb0deaf178e8b59,2021-01-08,2021-01-07,Jan,2021,3403208,2313,VD,FOB,P24,2400.0,BRL,0.0,False
1760,6422fe20deb0deaf178e8b5e,2021-01-10,2021-01-10,Jan,2021,3403208,2317,VD,FOB,P12,1600.0,BRL,0.0,False
1761,6422fe20deb0deaf178e8b5f,2021-01-09,2021-01-09,Jan,2021,3403208,2302,VD,FOB,P24,2800.0,BRL,0.0,False
1764,6422fe20deb0deaf178e8b62,2021-01-10,2021-01-07,Jan,2021,3423909,2331,VD,FOB,P24,2400.0,BRL,0.0,False
1777,6422fe20deb0deaf178e8b6f,2021-01-15,2021-01-14,Jan,2021,3423909,2327,VD,FOB,P12,1800.0,BRL,0.0,False
1787,6422fe20deb0deaf178e8b79,2021-01-20,2021-01-20,Jan,2021,3403208,2318,VD,FOB,P24,3000.0,BRL,0.0,False
1790,6422fe20deb0deaf178e8b7c,2021-01-20,2021-01-19,Jan,2021,3424402,2302,VD,FOB,P12,1600.0,BRL,0.0,False
1792,6422fe20deb0deaf178e8b7e,2021-01-19,2021-01-17,Jan,2021,3424402,2332,VD,FOB,P12,1600.0,BRL,0.0,False
1813,6422fe20deb0deaf178e8b93,2021-01-22,2021-01-22,Jan,2021,3423909,2302,VD,FOB,P24,2800.0,BRL,0.0,False
1815,6422fe20deb0deaf178e8b95,2021-01-22,2021-01-21,Jan,2021,3424402,2307,VD,FOB,P24,2800.0,BRL,0.0,False
1819,6422fe20deb0deaf178e8b99,2021-01-21,2021-01-20,Jan,2021,3424402,2332,VD,FOB,P12,1600.0,BRL,0.0,False
1820,6422fe20deb0deaf178e8b9a,2021-01-23,2021-01-21,Jan,2021,3423909,2317,VD,FOB,P12,1600.0,BRL,0.0,False
1847,6422fe20deb0deaf178e8bb5,2021-01-28,2021-01-26,Jan,2021,3403208,2307,VD,FOB,P12,1200.0,BRL,0.0,False
1857,6422fe20deb0deaf178e8bbf,2021-01-28,2021-01-28,Jan,2021,3424402,2329,VD,FOB,P24,2400.0,BRL,0.0,False
1860,6422fe20deb0deaf178e8bc2,2021-01-29,2021-01-29,Jan,2021,3424402,2333,VD,FOB,P24,2800.0,BRL,0.0,False
1867,6422fe20deb0deaf178e8bc9,2021-01-29,2021-01-29,Jan,2021,3403208,2333,VD,FOB,P24,3000.0,BRL,0.0,False
1870,6422fe20deb0deaf178e8bcc,2021-01-31,2021-01-31,Jan,2021,3423909,2301,VD,FOB,P12,1600.0,BRL,0.0,False
1881,6422fe20deb0deaf178e8bd7,2021-01-08,2021-01-05,Jan,2021,3424402,2325,VD,FOB,P12,1800.0,BRL,0.0,False
1885,6422fe20deb0deaf178e8bdb,2021-01-09,2021-01-09,Jan,2021,3423909,2347,VD,FOB,P12,1200.0,BRL,0.0,False
1900,6422fe20deb0deaf178e8bea,2021-01-12,2021-01-11,Jan,2021,3423909,2331,VD,FOB,P12,1600.0,BRL,0.0,False
1910,6422fe20deb0deaf178e8bf4,2021-01-13,2021-01-11,Jan,2021,3424402,2332,VD,FOB,P24,2400.0,BRL,0.0,False
1930,6422fe20deb0deaf178e8c08,2021-01-23,2021-01-23,Jan,2021,3423909,2346,VD,FOB,P24,2800.0,BRL,0.0,False
1955,6422fe20deb0deaf178e8c21,2021-01-31,2021-01-30,Jan,2021,3423909,2307,VD,FOB,P12,1200.0,BRL,0.0,False
1959,6422fe20deb0deaf178e8c25,2021-01-01,2021-01-01,Jan,2021,3403208,2308,VD,FOB,P24,3000.0,BRL,0.0,False
1967,6422fe20deb0deaf178e8c2d,2021-01-02,2021-01-02,Jan,2021,3423909,2320,VD,FOB,P12,1200.0,BRL,0.0,False
1969,6422fe20deb0deaf178e8c2f,2021-01-03,2021-01-03,Jan,2021,3403208,2327,VD,FOB,P24,2800.0,BRL,0.0,False
1972,6422fe20deb0deaf178e8c32,2021-01-03,2020-12-31,Jan,2021,3403208,2327,VD,FOB,P24,2400.0,BRL,0.0,False
2014,6422fe22deb0deaf178e8c5c,2021-01-04,2021-01-03,Jan,2021,3423909,2317,VD,FOB,P12,1200.0,BRL,0.0,False
2026,6422fe22deb0deaf178e8c68,2021-01-04,2021-01-04,Jan,2021,3423909,2346,VD,FOB,P12,1600.0,BRL,0.0,False
2036,6422fe22deb0deaf178e8c72,2021-01-04,2021-01-04,Jan,2021,3403208,2301,VD,FOB,P12,1800.0,BRL,0.0,False
2065,6422fe22deb0deaf178e8c8f,2021-01-03,2021-01-03,Jan,2021,3403208,2311,VD,FOB,P24,2400.0,BRL,0.0,False
2070,6422fe22deb0deaf178e8c94,2021-01-04,2021-01-04,Jan,2021,3403208,2327,VD,FOB,P12,1600.0,BRL,0.0,False
2082,6422fe22deb0deaf178e8ca0,2021-01-03,2021-01-03,Jan,2021,3403208,2332,VD,FOB,P24,2800.0,BRL,0.0,False
2091,6422fe22deb0deaf178e8ca9,2021-01-03,2021-01-03,Jan,2021,3423909,2320,VD,FOB,P12,1600.0,BRL,0.0,False
2095,6422fe22deb0deaf178e8cad,2021-01-04,2021-01-03,Jan,2021,3424402,2325,VD,FOB,P12,1600.0,BRL,0.0,False
2117,6422fe22deb0deaf178e8cc3,2021-01-06,2021-01-05,Jan,2021,3424402,2333,VD,FOB,P24,2800.0,BRL,0.0,False
2119,6422fe22deb0deaf178e8cc5,2021-01-07,2021-01-07,Jan,2021,3423909,2332,VD,FOB,P12,1600.0,BRL,0.0,False
2123,6422fe22deb0deaf178e8cc9,2021-01-05,2021-01-05,Jan,2021,3424402,2313,VD,FOB,P24,3000.0,BRL,0.0,False
2165,6422fe22deb0deaf178e8cf3,2021-01-09,2021-01-08,Jan,2021,3424402,2342,VD,FOB,P12,1200.0,BRL,0.0,False
2179,6422fe22deb0deaf178e8d01,2021-01-08,2021-01-08,Jan,2021,3424402,2335,VD,FOB,P24,2400.0,BRL,0.0,False
2184,6422fe22deb0deaf178e8d06,2021-01-10,2021-01-09,Jan,2021,3403208,2332,VD,FOB,P24,2800.0,BRL,0.0,False
2185,6422fe22deb0deaf178e8d07,2021-01-08,2021-01-08,Jan,2021,3424402,2317,VD,FOB,P12,1200.0,BRL,0.0,False
2214,6422fe22deb0deaf178e8d24,2021-01-11,2021-01-11,Jan,2021,3403208,2327,VD,FOB,P24,2400.0,BRL,0.0,False
2221,6422fe22deb0deaf178e8d2b,2021-01-10,2021-01-09,Jan,2021,3423909,2318,VD,FOB,P12,1800.0,BRL,0.0,False
2240,6422fe22deb0deaf178e8d3e,2021-01-11,2021-01-10,Jan,2021,3403208,2320,VD,FOB,P24,3000.0,BRL,0.0,False
2254,6422fe22deb0deaf178e8d4c,2021-01-14,2021-01-11,Jan,2021,3403208,2332,VD,FOB,P12,1200.0,BRL,0.0,False
